studid,classid,schoolid,date,academic,FinalProfitRounded,delta,beta,delta_now,pb,beta_0,dictator,dictator_schoolmate,dictator_difference,risk,publicgood,trust,trust_return,comp,SPiecerate,STournament,ST_SP,STournamentChoosed,SPiecerateChoosed,RankP,RankT,froze,time_delta_now,time_delta,time_beta,time_risk,time_dictator,time_dictator_schoolmate,time_trust,time_trust_return,time_publicgood,time_comp,time_beta_0,time_pb,time_dictator_difference,time_total,math,read,female,male,age,gpa_m,gpa_i,chsup_d1,chsup_d2,chsup_d0,pared_d1,pared_d2,pared_d3,pared_d0,fjob1,fjob2,fjob3,fjob4,fjob5,fjob6,fjob7,fjob8,fjob9,books1,books2,books3,books4,books5,books6,books7,books8,grade_math,grade_hun,grade_lit,grade_math_m,grade_hun_m,grade_lit_m
1,13,2,200302_0905,academic track,0,.69930071,1.1721312,.81967211,0,.17213118,50,50,0,45,75,80,28.95635,1,11,11,0,11,,3,4,0,17,15,32,81,31,7,64,108,75,33,32,32,38,665,,,,,,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
2,12,2,190318_1206,academic track,1000,.62111801,1,.62111801,0,0,0,10,-10,49,50,30,29.093916,1,5,9,4,8,,3,1,0,21,35,56,76,59,41,38,133,102,37,56,56,100,784,,,,,,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
3,20,3,200224_0748,academic track,1200,.5780347,1.1233766,.64935064,0,.12337661,50,25,25,11,50,30,16.666668,0,4,7,3,,8,3,3,0,77,111,188,73,116,34,96,262,118,189,188,188,150,1379,-1.2482339,-1.9326221,male,male,183,0,4.4000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0
4,13,2,200302_0905,academic track,900,.86206895,1.0357143,.89285713,0,.035714269,0,0,0,45,60,50,0,0,9,7,-2,,7,2,3,0,53,74,127,56,113,36,98,98,112,126,127,127,149,966,.82969415,.6193732,male,male,186,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
5,12,2,190318_1206,academic track,1500,.89285713,1.0873786,.97087377,0,.087378621,50,25,25,25,100,50,27.976191,1,13,16,3,15,,2,2,0,19,20,39,66,71,23,41,210,32,130,39,39,94,890,1.6584423,1.5817468,female,female,187,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
6,8,2,200302_1001,academic track,1500,.94339621,1,.94339621,0,0,50,0,50,40,100,80,19.537037,1,19,25,6,22,,1,1,0,15,11,26,34,34,29,58,79,52,94,26,26,63,662,1.6584423,1.5817468,female,female,199,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
7,48,8,191205_0944,academic track,1000,.81967211,.97600001,.80000001,1,.023999989,50,50,0,33,100,50,50,0,6,10,4,,10,3,2,1,30,38,68,68,25,19,35,87,61,63,68,68,44,678,1.0447443,.3604123,male,male,222,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,5,0,0,0
8,6,2,190318_1014,academic track,1200,.59171599,1.280303,.75757575,0,.280303,50,20,30,13,50,60,28.683863,1,7,10,3,8,,3,2,0,55,61,116,74,38,33,99,288,80,99,116,116,71,1030,-.07685037,-.11579431,female,female,199,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
9,44,7,190429_0829,vocational track,3600,.75757575,.76300579,.5780347,1,.23699421,30,25,5,23,50,30,33.333336,1,8,9,1,9,,2,2,0,53,28,81,63,30,25,47,92,55,86,81,81,55,738,-.80968767,-1.8063054,male,male,200,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,4,0,0,0
10,41,7,190429_1143,academic track,1400,.49504951,1.530303,.75757575,0,.530303,50,0,50,20,50,40,13.58664,0,5,3,-2,,5,3,3,0,38,39,77,86,35,27,42,105,61,49,77,77,62,735,-1.0591898,-1.3169743,male,male,202,0,3.9000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,0,0,0
11,27,5,200306_0916,vocational track,1700,.60606062,1.2132353,.7352941,0,.21323526,50,50,0,12,60.5,60,33.741535,1,3,6,3,2,,3,1,0,67,69,136,99,63,33,93,303,115,128,136,136,96,1207,-2.0536435,-1.661006,female,female,216,0,4.5999999,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,0,0,0
12,30,5,200306_1051,academic track,1000,.59171599,1.3100774,.77519381,0,.31007743,50,50,0,36,50,50,30.496031,0,5,4,-1,,5,3,3,1,43,34,77,68,31,18,76,168,88,277,77,77,49,1016,-.34869155,.60097665,female,female,190,0,4.3000002,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,5,0,0,0
13,44,7,190429_0829,vocational track,0,.69930071,.90506327,.63291138,1,.094936728,25,25,0,41,50,50,41.763229,1,6,6,0,7,,2,1,0,55,31,86,63,33,16,36,83,37,49,86,86,49,654,.13764396,.34810898,male,male,202,0,4.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,5,0,0,0
14,27,5,200306_0916,vocational track,1100,.97087377,1,.97087377,0,0,50,0,50,1,0,50,33.333336,1,8,6,-2,8,,2,2,0,45,30,75,96,60,34,90,122,154,132,75,75,94,1007,-.89315128,-.58040065,female,female,225,0,4.8000002,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,0,0
15,16,3,200224_1047,academic track,1300,.77519381,.92805755,.71942449,1,.071942449,25,10,15,5,65,40,29.203043,1,5,7,2,8,,2,2,0,29,22,51,55,31,12,32,86,62,27,51,51,43,601,-1.0905306,-.44939691,female,female,194,0,4.5999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,5,0,0,0
16,26,5,200306_1002,academic track,1000,.7352941,1.0880001,.80000001,0,.088000059,50,25,25,25,55.5,50,53.149475,1,6,5,-1,7,,2,3,0,24,36,60,62,37,25,65,164,50,69,60,60,62,761,-.98695111,-2.0715938,female,female,192,0,4.3000002,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,0,0,0
17,44,7,190429_0829,vocational track,300,.66666669,1.0791366,.71942449,0,.07913661,50,0,50,50,100,50,39.763226,0,4,5,1,,7,3,3,0,43,47,90,88,19,28,74,163,93,90,90,90,47,873,-.63542461,-1.2162023,male,male,202,0,4.1999998,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,5,0,0,0
18,30,5,200306_1051,academic track,500,.81967211,1,.81967211,0,0,50,0,50,10,80,50,52.132278,0,6,5,-1,5,,1,2,1,24,39,63,52,29,16,24,124,51,86,63,63,45,727,-.48038882,-.41916513,male,male,195,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
19,5,2,200303_0850,academic track,1500,.81967211,.92424244,.75757575,1,.075757563,50,25,25,49,100,100,50,0,7,11,4,,12,3,3,0,8,9,17,50,33,18,25,100,29,76,17,17,51,632,.061848447,.26737404,male,male,196,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,0,0,0
20,11,2,190318_0908,academic track,1000,.89285713,1,.89285713,0,0,50,25,25,15,50,90,54.645504,1,6,9,3,8,,4,3,0,31,37,68,100,49,26,69,196,54,134,68,68,75,957,.061848447,.26737404,male,male,184,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,0,0,0
21,50,9,191025_1101,academic track,1300,.80000001,1.0245901,.81967211,0,.024590135,25,0,25,19,50,50,29.958996,1,6,6,0,10,,2,2,0,46,43,89,107,43,17,92,208,130,110,89,89,60,1041,-.67410004,-1.5315253,male,male,205,0,4.0999999,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,0,0,0
22,39,6,190411_1016,academic track,1400,.81967211,1.119266,.91743118,0,.11926603,15,10,5,5,30,60,56.362431,1,7,9,2,10,,2,1,0,39,40,79,114,48,41,73,224,118,100,79,79,89,1032,-.19510026,.0070070191,male,male,203,0,4.3000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,0,0
23,29,5,200306_1158,vocational track,1500,.94339621,.9464286,.89285713,1,.053571403,50,50,0,10,50,50,44.687832,0,4,4,0,,4,4,4,0,60,76,136,62,47,28,58,193,80,116,136,136,75,993,-1.8591537,.38759747,female,female,241,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,5,0,0,0
24,22,4,191129_1101,vocational track,700,.81967211,.92424244,.75757575,1,.075757563,50,35,15,24,75,70,30.552908,1,5,8,3,5,,4,4,0,30,25,55,67,36,39,60,161,84,89,55,55,75,816,-.59919387,-.047597669,female,female,188,0,4.4000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,0,0,0
25,21,3,200224_1134,academic track,400,.60606062,1.6019417,.97087377,0,.6019417,25,25,0,22,30,50,17.608467,0,7,8,1,,8,2,2,0,62,101,163,80,60,40,77,197,105,170,163,163,100,1134,-.47816575,-.46509868,female,female,185,0,4.3000002,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,5,0,0,0
26,1,1,191011_0834,academic track,1100,.49504951,1,.49504951,0,0,50,25,25,21,75,60,50,1,6,6,0,7,,2,1,0,30,33,63,55,30,21,44,107,45,67,63,63,51,723,-.45082605,.060322441,male,male,207,0,3.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,0,0,0
27,48,8,191205_0944,academic track,2000,.89285713,1,.89285713,0,0,0,0,0,32,100,100,36.666668,0,7,7,0,,10,3,2,1,59,46,105,87,62,19,63,106,45,117,105,105,81,871,.91671395,.63437188,male,male,217,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
28,34,6,190411_1002,academic track,1000,.64935064,1.0769231,.69930071,0,.076923132,50,5,45,50,40,30,40.332012,0,9,8,-1,,10,3,4,0,30,31,61,56,38,30,84,262,92,90,61,61,68,968,-.13264072,.72401232,female,female,232,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,0,0,0
29,36,6,190411_1226,academic track,0,.5780347,.95580107,.55248618,1,.04419893,25,15,10,24,46,40,28.783068,1,7,11,4,8,,2,1,0,22,47,69,81,21,15,49,114,76,104,69,69,36,786,.53551453,1.7923137,female,female,219,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
30,39,6,190411_1016,academic track,1500,.89285713,.94117647,.84033614,1,.058823526,50,50,0,20,100,100,45.400791,1,6,12,6,10,,3,2,0,46,24,70,59,33,13,52,128,74,105,70,70,46,800,.34569249,-.013967426,female,female,197,0,4.6999998,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,5,0,0,0
31,11,2,190318_0908,academic track,1600,.62111801,1.288,.80000001,0,.28799999,75,75,0,14,80,60,60.416668,1,9,11,2,10,,2,3,0,31,9,40,53,33,17,28,152,69,40,40,40,50,662,.75990009,1.0231647,female,female,191,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
32,4,1,191011_1139,academic track,0,.5780347,1.310606,.75757575,0,.310606,50,100,-50,1,52,60,39.259262,0,5,3,-2,,5,3,3,0,45,102,147,85,51,51,72,201,124,161,147,147,102,1123,-1.7556856,-2.1909966,male,male,210,0,3.4000001,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,4,1,0,0
33,39,6,190411_1016,academic track,1200,.52910054,1.0216216,.54054052,0,.021621585,50,50,0,15,80,60,45.669312,0,5,8,3,,7,2,2,0,43,44,87,79,36,29,47,227,69,108,87,87,65,944,-.23055246,.1875765,female,female,197,0,4.5999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,5,0,0,0
34,4,1,191011_1139,academic track,0,.94339621,1,.94339621,0,0,50,50,0,14,0,100,49.444443,0,7,5,-2,,5,2,4,0,58,42,100,114,73,59,68,135,134,109,100,100,132,1033,-.80257469,-1.6796368,male,male,218,0,4.3000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,0,0,0
35,18,3,200224_1326,academic track,1000,.77519381,1,.77519381,0,0,0,0,0,50,25,50,42.515873,0,4,4,0,,6,2,2,1,31,31,62,55,17,15,38,115,78,92,62,62,32,727,-.31935096,-.64730865,male,male,211,0,4.1999998,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,5,0,0,0
36,32,6,190411_1302,academic track,1000,.59171599,.97687858,.5780347,1,.023121417,50,50,0,40,100,80,45.929893,0,5,10,5,,8,2,2,0,27,44,71,77,16,22,50,154,120,91,71,71,38,866,-.30145809,-.061307114,male,male,210,0,3.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,3,0,0,0
37,35,6,190411_1249,academic track,500,.97087377,1,.97087377,0,0,50,0,50,50,70,50,66.666672,1,5,8,3,6,,3,2,0,36,46,82,76,28,19,81,308,106,120,82,82,47,1069,.48783672,-.85166484,female,female,227,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
38,50,9,191025_1101,academic track,1000,.7352941,1.0542636,.77519381,0,.054263592,25,25,0,21,70,50,44.548943,0,4,6,2,,5,3,3,0,44,54,98,60,41,20,92,252,209,95,98,98,61,1106,.20577136,.86040622,female,female,197,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
39,13,2,200302_0905,academic track,900,.97087377,1,.97087377,0,0,50,25,25,45,100,100,50,1,8,10,2,9,,2,2,0,16,5,21,121,32,33,22,65,31,48,21,21,65,616,1.28869,1.2238888,male,male,192,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,5,0,0,0
40,41,7,190429_1143,academic track,1400,.69930071,.47666666,.33333334,1,.52333331,50,25,25,50,40,50,39.982803,0,5,5,0,,10,4,4,0,45,27,72,77,44,25,22,110,76,90,72,72,69,786,-.72911304,-1.7270935,female,female,207,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,3,0,0,0
41,7,2,200303_1004,academic track,1000,.80000001,.66137564,.52910054,1,.33862436,50,50,0,40,70,70,55,1,10,8,-2,10,,2,2,0,65,36,101,132,48,19,41,220,107,117,101,101,67,1069,.16642879,.26807711,male,male,194,0,4.8000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,5,0,0,0
42,18,3,200224_1326,academic track,400,.86206895,.87878788,.75757575,1,.12121212,50,50,0,21,50,40,44.965611,1,6,9,3,8,,3,1,1,23,30,53,38,10,8,41,119,59,54,53,53,18,615,.46716496,1.1716282,female,female,208,1,4.5255127,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
43,12,2,190318_1206,academic track,1500,.97087377,1,.97087377,0,0,50,100,-50,46,100,100,100,0,12,10,-2,,7,2,2,0,23,12,35,98,33,43,23,60,27,62,35,35,76,625,1.1300974,.55680108,male,male,191,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
44,8,2,200302_1001,academic track,0,.97087377,1,.97087377,0,0,50,50,0,50,100,100,100,1,8,20,12,14,,4,2,0,5,11,16,38,35,17,14,29,21,40,16,16,52,457,1.1300974,.55680108,male,male,203,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
45,11,2,190318_0908,academic track,1300,.75757575,.81987578,.62111801,1,.18012422,40,35,5,51,50,50,53.182541,0,8,5,-3,,6,4,3,0,23,50,73,81,56,20,59,175,44,119,73,73,76,878,.4843913,1.3018115,female,female,183,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
46,5,2,200303_0850,academic track,1000,.52910054,1,.52910054,0,0,50,17.5,32.5,51,70,70,50.756615,1,12,14,2,13,,3,2,0,10,7,17,25,19,9,21,58,48,69,17,17,28,519,.4843913,1.3018115,female,female,195,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
47,24,4,191129_0904,vocational track,300,.48543689,1.019802,.49504951,0,.019801974,50,50,0,51,70,50,41.276455,0,4,3,-1,,3,3,3,0,54,54,108,83,31,21,69,321,82,96,108,108,52,1065,-.38258785,.18441303,female,female,186,0,4.1999998,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,0,0,0
48,1,1,191011_0834,academic track,1100,.97087377,.97169811,.94339621,1,.028301895,50,100,-50,35,50,100,43.096561,1,7,8,1,7,,1,1,0,24,42,66,82,31,23,51,182,83,93,66,66,54,881,-1.1204264,-1.6216344,male,male,211,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,0,0,0
49,10,2,200303_1103,academic track,1600,.69930071,1.2767857,.89285713,0,.27678573,5,5,0,50,10,10,2.1521163,0,11,13,2,,16,2,2,0,10,27,37,28,28,12,23,32,58,50,37,37,40,543,1.4189421,1.4473451,female,female,207,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
50,21,3,200224_1134,academic track,0,.62111801,1.3196721,.81967211,0,.31967211,45,20,25,33,20,50,34.555557,1,7,9,2,10,,2,1,0,64,73,137,88,47,27,66,127,123,83,137,137,74,1006,.71544546,-.15059569,male,male,182,0,4.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,4,4,0,0,0
51,3,1,191011_1047,academic track,3600,.66666669,.94936705,.63291138,1,.050632954,60,29,31,77,78,50,23.236773,1,3,9,6,9,,3,1,0,39,38,77,85,34,25,72,245,70,92,77,77,59,957,-1.3080254,-.67543125,male,male,216,0,4.0999999,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4,0,0,0
52,34,6,190411_1002,academic track,500,.7352941,1.030303,.75757575,0,.030303001,50,35,15,11,50,20,17.021164,1,2,1,-1,4,,3,4,0,27,31,58,71,30,34,81,342,93,61,58,58,64,1010,.1110822,-.38729286,female,female,219,0,4.0999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,0,0,0
53,46,8,191205_1150,academic track,0,.66666669,1,.66666669,0,0,40,25,15,38,35,50,31.350529,1,6,8,2,9,,2,2,0,34,36,70,46,38,28,61,178,105,46,70,70,66,824,.27700993,.42087585,male,male,203,0,4.8000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0
54,46,8,191205_1150,academic track,1000,.77519381,.94852942,.7352941,1,.051470578,50,15,35,40,70,100,29.041008,1,4,8,4,7,,1,3,0,43,25,68,76,38,41,44,455,166,119,68,68,79,1270,.87870514,1.2104137,female,female,215,1,4.5255127,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,1,1,1
55,35,6,190411_1249,academic track,600,.84033614,.90151513,.75757575,1,.098484874,50,37.5,12.5,30,40,50,50,1,10,9,-1,13,,2,3,0,45,55,100,48,23,33,65,146,80,70,100,100,56,868,.69855267,1.1056577,male,male,223,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,5,5,0,0,0
56,12,2,190318_1206,academic track,1000,.52910054,1.1962025,.63291138,0,.19620252,5,5,0,21,30,30,19.044313,1,7,9,2,7,,2,1,0,13,15,28,55,34,15,46,122,46,52,28,28,49,644,1.0534126,.71979392,female,female,187,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
57,8,2,200302_1001,academic track,1400,.81967211,1.0892857,.89285713,0,.089285731,0,0,0,50,10,20,33.333336,0,14,11,-3,,7,2,1,0,13,9,22,29,29,21,17,76,41,57,22,22,50,551,1.0534126,.71979392,female,female,199,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
58,17,3,200224_1231,academic track,1400,.75757575,1,.75757575,0,0,0,0,0,16,50,50,10.355821,1,8,8,0,9,,1,1,0,36,59,95,60,11,15,47,80,67,47,95,95,26,653,-.36258331,-.54747409,male,male,196,0,4.3000002,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,3,0,0,0
59,18,3,200224_1326,academic track,1000,.80000001,.96899223,.77519381,1,.031007767,50,5,45,50,60,90,33.333336,1,4,0,-4,5,,3,3,1,55,43,98,110,54,56,98,149,116,74,98,98,110,1025,-.59908307,-.97200578,female,female,216,0,4.9000001,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0
60,30,5,200306_1051,academic track,500,.89285713,1,.89285713,0,0,50,25,25,30,80,10,41.415344,1,4,5,1,5,,3,2,1,51,37,88,58,47,25,75,458,88,97,88,88,72,1154,-.43682292,-.2415254,female,female,193,0,4.6999998,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,4,0,0,0
61,43,7,190429_0937,vocational track,1500,.66666669,1.1363636,.75757575,0,.13636363,25,25,0,20,20,50,17.329365,0,6,5,-1,,2,2,2,0,54,45,99,74,44,43,87,218,62,78,99,99,87,1149,.22377503,-.28066203,female,female,199,0,4.6999998,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,0,0,0
62,21,3,200224_1134,academic track,500,.60606062,1.0443038,.63291138,0,.044303775,50,25,25,25,60,30,51.298939,0,5,6,1,,7,3,1,0,37,68,105,85,33,17,80,202,78,139,105,105,50,980,.12141837,-1.0079789,male,male,193,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,5,0,0,0
63,47,8,191205_1049,academic track,1500,.89285713,1.0873786,.97087377,0,.087378621,50,25,25,20,30,50,31.350529,0,5,7,2,,10,3,2,0,52,65,117,109,51,52,105,337,221,173,117,117,103,1417,.11586131,.0080619343,female,female,227,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
64,15,3,200224_0844,academic track,0,.80000001,1.2135922,.97087377,0,.21359217,50,25,25,40,50,50,33.333336,0,3,6,3,,4,3,3,0,27,29,56,61,37,25,42,87,81,55,56,56,62,668,-.078739859,.22776806,female,female,196,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
65,45,7,190429_1037,academic track,0,.5780347,1.0949367,.63291138,0,.094936728,50,50,0,22,50,50,50,1,4,4,0,6,,2,2,0,50,64,114,66,28,20,56,169,57,84,114,114,48,876,-.3822549,.0064214496,female,female,197,0,4.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,0,0
66,34,6,190411_1002,academic track,1500,.62111801,1.1258742,.69930071,0,.12587416,25,15,10,20,50,60,43.808201,0,11,9,-2,,8,3,3,0,35,24,59,87,32,34,52,277,52,112,59,59,66,977,.32557654,.71299762,female,female,225,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,0,0,0
67,6,2,190318_1014,academic track,1700,.63291138,.78217822,.49504951,1,.21782178,50,30,20,10,40,40,56.288361,0,8,13,5,,14,4,3,0,41,16,57,55,37,26,48,110,100,53,57,57,63,720,.09485662,1.2610337,male,male,202,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
68,4,1,191011_1139,academic track,0,.97087377,1,.97087377,0,0,50,75,-25,40,50,90,50.896824,1,2,5,3,7,,1,1,0,72,86,158,105,45,38,60,164,85,139,158,158,83,1106,-1.4489473,-1.5618739,female,female,219,0,3.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0
69,53,9,191025_1305,academic track,0,.80000001,1.1160715,.89285713,0,.11607146,5,25,-20,28,45,70,39.652115,1,5,5,0,7,,2,3,0,54,66,120,89,56,60,90,196,98,118,120,120,116,1069,-.47627625,-.14637731,female,female,180,0,4.6999998,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,4,0,0,0
70,14,2,200302_1048,academic track,1200,.89285713,.70886075,.63291138,1,.29113925,50,0,50,1,100,100,50,0,12,5,-7,,6,2,4,0,31,30,61,44,42,25,35,85,56,78,61,61,67,701,.77323663,.66554111,male,male,179,0,4.5999999,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
71,11,2,190318_0908,academic track,1000,.89285713,.89600003,.80000001,1,.10399997,100,100,0,50,100,100,50,1,11,15,4,16,,3,2,0,21,23,44,43,40,15,24,68,52,89,44,44,55,653,.23022145,.54988724,male,male,181,0,4.6999998,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,5,0,0,0
72,32,6,190411_1302,academic track,1300,.77519381,1.1517857,.89285713,0,.15178573,50,40,10,5,60,80,50,1,11,10,-1,8,,2,2,0,25,18,43,68,20,22,48,81,99,51,43,43,42,662,.22077462,.13121447,male,male,208,0,4.4000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,5,0,0,0
