studid,classid,schoolid,date,academic,FinalProfitRounded,delta,beta,delta_now,pb,beta_0,dictator,dictator_schoolmate,dictator_difference,risk,publicgood,trust,trust_return,comp,SPiecerate,STournament,ST_SP,STournamentChoosed,SPiecerateChoosed,RankP,RankT,froze,time_delta_now,time_delta,time_beta,time_risk,time_dictator,time_dictator_schoolmate,time_trust,time_trust_return,time_publicgood,time_comp,time_beta_0,time_pb,time_dictator_difference,time_total,math,read,female,male,age,gpa_m,gpa_i,chsup_d1,chsup_d2,chsup_d0,pared_d1,pared_d2,pared_d3,pared_d0,fjob1,fjob2,fjob3,fjob4,fjob5,fjob6,fjob7,fjob8,fjob9,books1,books2,books3,books4,books5,books6,books7,books8,grade_math,grade_hun,grade_lit,grade_math_m,grade_hun_m,grade_lit_m
610,26,5,200306_1002,academic track,1100,.97087377,1,.97087377,0,0,50,37.5,12.5,10,50,70,42.94709,1,2,7,5,8,,4,2,0,36,39,75,102,35,26,61,130,68,83,75,75,61,815,-.4466027,-1.0648097,female,female,197,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,4,0,0,0
611,50,9,191025_1101,academic track,1300,.80000001,1.0504202,.84033614,0,.050420165,25,87.5,-62.5,13,5,100,71.911377,1,5,8,3,5,,2,2,0,45,43,88,73,50,46,86,206,115,70,88,88,96,972,-.29434511,-.7384721,male,male,198,0,4.5999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,5,0,0,0
612,53,9,191025_1305,academic track,700,.63291138,1.490566,.94339621,0,.49056602,50,50,0,34,50,60,53.317463,1,8,5,-3,11,,3,2,0,40,36,76,79,35,17,40,93,57,63,76,76,52,718,-.38714477,-.74515152,female,female,180,0,4.0999999,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,5,0,0,0
613,21,3,200224_1134,academic track,300,.68493152,1,.68493152,0,0,50,25,25,17,100,50,38.822754,0,5,4,-1,,4,3,3,0,109,92,201,119,66,55,118,388,178,147,201,201,121,1497,-.51973075,-.89197391,female,female,180,0,4.3000002,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0
614,50,9,191025_1101,academic track,1300,.81967211,.97600001,.80000001,1,.023999989,25,25,0,40,100,50,40.687172,0,5,7,2,,6,1,2,0,47,34,81,104,64,48,50,205,149,72,81,81,112,1030,.56930006,.62722439,female,female,202,0,4.9000001,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0
615,20,3,200224_0748,academic track,1700,.48543689,1.019802,.49504951,0,.019801974,50,40,10,28,25,40,37.636246,1,5,6,1,8,,2,1,0,27,53,80,81,29,30,93,204,100,84,80,80,59,935,.30234939,.87856841,male,male,181,0,4.9000001,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
616,7,2,200303_1004,academic track,0,.77519381,1,.77519381,0,0,50,50,0,35,100,80,29.517197,0,10,8,-2,,9,2,3,0,29,20,49,128,25,17,250,217,99,76,49,49,42,1009,1.7263469,1.6670519,female,female,207,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
617,10,2,200303_1103,academic track,5200,.81967211,1,.81967211,0,0,40,25,15,35,50,70,50.511909,1,13,14,1,13,,2,1,0,23,36,59,64,47,25,71,138,89,117,59,59,72,856,-.45638311,-.22558926,female,female,196,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
618,52,9,191025_1015,academic track,1300,.91743118,.97321433,.89285713,1,.026785672,50,25,25,60,10,30,33.333336,1,7,10,3,10,,1,1,0,39,37,76,105,22,19,40,359,76,117,76,76,41,1092,.078741811,1.2298651,female,female,227,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
619,39,6,190411_1016,academic track,1300,.68493152,.82485873,.56497175,1,.17514127,50,20,30,19,40,50,36.503307,0,11,8,-3,,11,2,3,0,42,60,102,87,30,30,80,274,85,91,102,102,60,1056,-.54507023,-.38623857,male,male,199,1,4.5255127,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,5,1,1,1
620,33,6,190411_1102,academic track,1100,.94339621,.9464286,.89285713,1,.053571403,50,50,0,15,50,50,50,0,1,8,7,,11,4,3,0,42,34,76,101,27,20,62,137,44,73,76,76,47,771,.53484738,1.5433131,female,female,219,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
621,35,6,190411_1249,academic track,1000,.80000001,1.2135922,.97087377,0,.21359217,22.5,22.5,0,32,44,80,8.3351851,1,3,4,1,6,,3,2,0,50,49,99,106,41,29,118,220,135,103,99,99,70,1080,.15264784,.95836592,female,female,224,0,4.0999999,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0
622,11,2,190318_0908,academic track,1000,.89285713,1,.89285713,0,0,50,50,0,10,30,30,50,0,5,9,4,,9,2,2,0,25,12,37,59,30,14,25,63,67,40,37,37,44,589,.8244707,.96516222,male,male,187,0,4.9000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
623,20,3,200224_0748,academic track,1600,.60606062,.97633135,.59171599,1,.023668647,50,25,25,39,20,40,30.751986,1,7,10,3,10,,2,2,0,37,31,68,72,33,26,58,203,130,113,68,68,59,961,-.30112448,-.54841155,female,female,180,0,4.4000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,4,0,0,0
624,10,2,200303_1103,academic track,6000,.69930071,1.028777,.71942449,0,.028777003,25,15,10,45,32.5,80,14.182539,1,7,9,2,15,,3,2,0,19,28,47,40,21,15,26,68,62,65,47,47,36,599,.077630281,-.28159943,female,female,201,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
625,24,4,191129_0904,vocational track,700,.81967211,.97600001,.80000001,1,.023999989,30,27.5,2.5,29,70,40,28.279102,0,2,7,5,,7,2,2,0,41,40,81,66,26,26,43,118,64,79,81,81,52,762,-.37469757,-.032833312,female,female,199,0,3.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0
626,38,6,190411_1405,academic track,1400,.7352941,1.030303,.75757575,0,.030303001,50,40,10,51,75,40,23.780424,0,9,9,0,,11,2,2,0,21,33,54,40,15,18,44,80,48,53,54,54,33,570,,,,,,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
627,42,7,190429_1233,vocational track,1000,.64935064,1.375,.89285713,0,.375,50,25,25,29,50,50,44.429893,1,8,9,1,7,,1,1,0,16,23,39,49,21,18,73,132,59,58,39,39,39,668,-.775235,-.057205584,male,male,197,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,0,0,0
628,23,4,191129_1158,vocational track,1400,.7352941,.95104897,.69930071,1,.04895103,55,25,30,24,50,50,18.069841,1,4,7,3,6,,2,2,0,74,78,152,58,32,22,55,144,66,112,152,152,54,903,-1.0217367,-.47833943,female,female,191,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
629,48,8,191205_0944,academic track,1000,.62111801,1,.62111801,0,0,50,50,0,52,50.099998,60,46.427578,0,3,8,5,,7,3,3,1,24,41,65,62,33,48,66,170,63,94,65,65,81,860,.6691013,.49692369,male,male,204,0,4.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,5,0,0,0
630,27,5,200306_0916,vocational track,1100,.89285713,1,.89285713,0,0,50,25,25,29,50,30,13.868387,1,5,11,6,6,,3,1,0,47,37,84,110,78,39,61,127,159,69,84,84,117,981,.10408064,-1.2821729,female,female,218,0,4.8000002,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,0,0,0
631,33,6,190411_1102,academic track,400,.66666669,.94936705,.63291138,1,.050632954,50,50,0,53,50,50,38.452381,0,6,5,-1,,4,2,3,0,31,24,55,60,24,18,50,170,65,56,55,55,42,738,-.20110108,1.3580567,female,female,220,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
632,21,3,200224_1134,academic track,0,.52910054,1,.52910054,0,0,25,0,25,25,100,50,50,1,9,14,5,10,,3,1,0,53,28,81,86,37,22,24,92,80,85,81,81,59,792,.6509856,.56547219,male,male,191,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
633,30,5,200306_1051,academic track,0,.91743118,.97321433,.89285713,1,.026785672,100,100,0,69,100,80,79.076721,1,8,6,-2,11,,3,1,1,20,24,44,53,7,13,25,69,51,52,44,44,20,566,-.59852731,.17269529,female,female,190,0,4.8000002,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,0,0,0
634,43,7,190429_0937,vocational track,1000,.69930071,.82658958,.5780347,1,.17341042,50,50,0,29,50,60,16.666668,1,7,9,2,9,,2,1,0,29,25,54,58,18,15,36,73,39,86,54,54,33,639,.13908908,-.5574339,male,male,202,0,3.0999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0
635,23,4,191129_1158,vocational track,1400,.68493152,.78918916,.54054052,1,.21081084,25,0,25,10,10,20,12.457672,1,3,0,-3,3,,3,2,0,86,120,206,121,62,52,129,243,95,171,206,206,114,1393,-1.871601,-2.3930099,female,female,219,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
636,8,2,200302_1001,academic track,1500,.81967211,1.119266,.91743118,0,.11926603,50,25,25,38,100,100,29.517197,1,14,23,9,12,,2,1,0,5,5,10,38,2,39,26,64,6,146,10,10,41,569,1.7137889,1.1627227,male,male,191,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
637,12,2,190318_1206,academic track,1000,.97087377,.65189874,.63291138,1,.34810126,50,50,0,50,100,100,29.517197,1,10,16,6,16,,2,1,0,15,21,36,37,18,27,28,81,45,30,36,36,45,539,1.7137889,1.1627227,male,male,179,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,0,0,0
638,35,6,190411_1249,academic track,1000,.71942449,1.1393442,.81967211,0,.13934422,35,20,15,50,.5,40,34.240742,0,7,12,5,,7,3,2,0,41,48,89,92,50,25,127,242,154,145,89,89,75,1116,-.066847786,-.313003,female,female,232,0,4.3000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,0,0,0
639,16,3,200224_1047,academic track,1000,.97087377,1,.97087377,0,0,25,10,15,49,10,40,50,0,7,8,1,,6,2,1,0,33,45,78,68,36,30,75,152,114,179,78,78,66,990,.44538233,.9154796,female,female,202,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0
640,2,1,191011_0958,academic track,1200,.48543689,1.4820144,.71942449,0,.48201442,50,25,25,51,40,50,36,1,3,5,2,6,,2,2,0,54,60,114,137,11,18,65,184,64,83,114,114,29,927,-2.4370661,-1.7932984,male,male,203,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,5,1,1,1
641,51,9,191025_1154,academic track,3200,.97087377,1,.97087377,0,0,5,0,5,20,50,50,22.056879,1,7,8,1,7,,2,1,0,35,34,69,90,31,15,83,166,81,108,69,69,46,872,.014059808,-.031895891,female,female,213,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,4,0,0,0
