studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
135;11;2;0,68493152;0,75757575;1,1060606;25;25;50;50;50;35,000004;1;-0,558541387;-0,08778248;-0,841730295;0,974768323;1,7429067;0,65124542;180;4;1;4,9000001;male;1
136;5;2;0,77519381;0,7352941;0,94852942;27,450001;27,450001;33;50;50;33,333336;0;-0,44056659;0,369723881;-0,160630437;-0,376923669;1,7429067;0,65124542;192;1;3;4,9000001;male;1
137;26;5;0,52910054;0,33333334;0,63;50;25;4;60;70;52,978836;1;0,850362364;-2,31078722;0,038097185;-0,991171758;-0,42726532;-0,34991357;200;3;2;4,5255127;male;0
138;16;3;0,62111801;0,75757575;1,219697;50;10;25;15;10;26,358467;0;-2,210810364;-0,577574371;-0,045369259;-0,489276141;-1,3792646;-1,3289263;199;4;5;4,6999998;female;0
139;52;9;0,75757575;0,81967211;1,0819672;0;25;50;100;100;70;1;2,409899359;-0,095853249;-1,176067013;0,416281721;-0,16787134;-0,27445194;220;5;1;4;male;1
140;29;5;0,7352941;0,81967211;1,1147541;50;25;36;80;60;49,248676;1;0,370930051;0,404133635;0,215651615;-0,052293236;-1,6775562;-1,908366;230;1;1;3,8;female;0
141;7;2;0,5780347;0,49504951;0,8564356;0;0;40;50;30;31,435186;0;-0,443692038;-1,04384014;-1,00031214;-0,424013182;0,28156626;1,3244264;192;4;1;5;female;1
143;18;3;0,59171599;0,59171599;1;50;50;25;49;60;33,333336;1;-0,597815343;-1,004480134;1,26850299;-0,31031662;-1,2941337;-1,3128734;214;3;3;4,5;female;0
144;48;8;0,71942449;0,75757575;1,0530303;25;15;54;100;50;51,038361;1;0,725233667;-0,066077427;-1,11054083;0,509841342;0,27689853;0,66647851;210;5;1;4,5255127;female;0
145;27;5;0,69930071;0,75757575;1,0833334;50;25;10;80;40;42,476189;0;0,536205924;-0,352675526;-0,189317736;-1,042040066;-1,0886412;-0,77034432;223;3;1;4,8000002;female;0
146;18;3;0,69930071;0,63291138;0,90506327;10;10;80;50;50;35,485451;1;-0,431312425;-0,438604888;-0,993063583;1,905442896;-0,10107828;0,78998291;210;5;1;4,5;female;1
148;22;4;0,68493152;0,49504951;0,72277224;50;25;9;50;40;21,451059;1;-1,051691504;-0,893453486;0,298990155;-0,330231051;-1,9449519;-1,232724;200;3;5;4,1999998;female;0
149;38;6;0,62111801;0,81967211;1,3196721;50;30;64;83;80;30,019178;1;0,167237681;0,02521813;0,488264932;1,684168481;-0,37503052;0,001734352;198;5;3;4,9000001;female;0
150;21;3;0,75757575;0,75757575;1;45;25;10;40;30;20,131615;0;-1,459336531;0,305465021;0,05130515;-1,089320577;0,36669719;0,72869939;184;4;1;5;female;0
151;36;6;0,7352941;0,71942449;0,97841728;50;40;30;80;80;59,629631;1;1,186481492;-0,067475473;0,246158248;-0,59260093;0,76378983;0,28213838;224;2;2;5;female;0
