;studid;classid;delta;beta;beta_0;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;mean_delta;mean_beta;mean_beta_0;mean_dictator;mean_dictator_schoolmate;mean_risk;mean_publicgood;mean_trust;mean_trust_return;sd_delta;sd_beta;sd_beta_0;sd_dictator;sd_dictator_schoolmate;sd_risk;sd_publicgood;sd_trust;sd_trust_return;delta_diff;beta_diff;beta_0_diff;dictator_diff;dictator_schoolmate_diff;risk_diff;publicgood_diff;trust_diff;trust_return_diff
15;15;16;0,77519381;0,92805755;0,071942449;25;10;5;65;40;29,203043;0,735069143;1,113196055;0,146202073;41,20862069;30,43103448;28,10344828;51,58275869;45,86206897;34,28078851;0,141335054;0,193558989;0,169108278;19,66563386;18,46895278;16,22243778;17,72222309;16,80077408;13,76848806;4,749725961;3,681505321;0,279220325;-39,93736749;-29,88958527;-27,79523319;-47,91504727;-43,48122629;-32,15978272
16;16;26;0,7352941;1,0880001;0,088000059;50;25;25;55,5;50;53,149475;0,718060289;1,083481343;0,149998625;44,28571429;36,42857143;26,61904762;58,11904762;54,76190476;43,43061871;0,139188001;0,250001029;0,214926819;10,06674156;21,29512017;18,60773009;22,77164068;21,12322126;14,58246081;4,564680265;3,268501142;0,25944334;-39,31886382;-35,25459355;-25,27551996;-55,68180558;-52,39484155;-39,78586522
17;17;44;0,66666669;1,0791366;0,07913661;50;0;50;100;50;39,763226;0,717848677;0,92083203;0,13196502;43,86363636;31,13636364;32,40909091;54,11818173;54,09090909;45,38922059;0,105536252;0,160694621;0,118931669;11,53997382;19,6960123;16,28221083;23,73178775;20,62340116;15,85496732;5,59909623;5,794617408;0,533430585;-39,5308709;-31,13636364;-29,33825486;-49,90442417;-51,66647873;-42,88128568
18;18;30;0,81967211;1;0;50;0;10;80;50;52,132278;0,760891343;1,071259802;0,105246918;47,16666667;34,5;33,96666667;63,18666667;50;39,34215233;0,156560525;0,156498559;0,135225681;19,194258;24,08139932;13,42021978;19,34818415;23,48880878;16,26462637;4,474605354;5,318575372;-0,105246918;-44,56172096;-34,5;-33,22152239;-59,05191173;-47,8713267;-36,13689715
19;19;5;0,81967211;0,92424244;0,075757563;50;25;49;100;100;50;0,70863588;1,004748103;0,089457733;36,28333338;25,28333338;43;61,40952371;58,0952381;39,50544905;0,1582697;0,134855003;0,09902891;18,63822235;20,23804174;22,64729564;30,84512782;25,0237982;20,44483656;4,470322006;5,848853295;0,67554678;-33,60067411;-24,048036;-40,83638626;-58,16752061;-54,09904219;-37,05984378
20;20;11;0,89285713;1;0;50;25;15;50;90;54,645504;0,732471031;1,04069003;0,154807852;45,90909091;37,18181818;34,45454545;64,31818182;49,09090909;41,75702068;0,140514985;0,21262543;0,147774867;18,49300792;20,43196926;17,4812206;24,11754225;18,23369223;9,6647384;5,621706288;3,662416283;-0,154807852;-43,20536633;-35,95824547;-33,5964818;-62,24500208;-44,15499162;-36,10290965
21;21;50;0,80000001;1,0245901;0,024590135;25;0;19;50;50;29,958996;0,809336776;0,998315501;0,056021008;34,02777778;26,66666667;33;59,07777789;62,22222222;41,234789;0,101160965;0,082310795;0,058780165;13,53478332;23,02492256;16,58135026;33,90839834;23,40325657;15,92001863;7,098851982;11,44950624;0,362319683;-32,18068504;-26,66666667;-31,85413433;-57,60321694;-60,08576742;-39,35294472
22;22;39;0,81967211;1,119266;0,11926603;15;10;5;30;60;56,362431;0,687073776;1,050845807;0,137126504;42,85714286;36,07142857;27,85714286;68,92857143;65;45,05144529;0,145465336;0,180159866;0,122440322;15,15487808;18,41598088;17,96516776;26,3247888;25,94372608;8,989610018;4,947753946;5,161780928;0,836948275;-41,86736254;-35,52842193;-27,5788265;-67,78896115;-62,68730213;-38,78171491
23;23;29;0,94339621;0,9464286;0,053571403;50;50;10;50;50;44,687832;0,704589411;1,10029384;0,168907596;36,2625;27,4375;34,2;71,5;58,5;44,88493475;0,137968547;0,234137337;0,18808831;20,61640172;19,04148432;18,64798564;23,0045762;24,5539149;10,91140883;6,133173499;2,941900422;0,115912884;-33,83724652;-24,81165429;-33,66374905;-69,3265194;-56,46366485;-40,78942035
24;24;22;0,81967211;0,92424244;0,075757563;50;35;24;75;70;30,552908;0,688527086;1,082140228;0,21843444;43,33333333;29,16666667;23;59,40000014;50;35,53204276;0,134223006;0,264612503;0,164331557;10,73351449;13,99404635;16,4195006;24,31845002;20,73644135;9,947404698;5,418265898;2,410674477;0,242569911;-38,67502686;-26,66560306;-21,53832339;-56,31592201;-46,62430024;-32,4605976
